Scan 1,,,,,
X pos (mm),Y pos (mm),Z pos (mm),XX Stress (MPa),YY Stress (MPa),ZZ Stress (MPa)
5,0,44,,,
13,0,44,,,
21,0,44,,,
29,0,44,,,
37,0,44,,,
45,0,44,,,
53,0,44,,,
61,0,44,,,
69,0,44,,,
77,0,44,,,
85,0,44,,,
93,0,44,,,
101,0,44,,,
109,0,44,,,
117,0,44,,,
125,0,44,,,
133,0,44,,,
141,0,44,,,
149,0,44,,,
157,0,44,,,
165,0,44,,,
173,0,44,,,
181,0,44,,,
189,0,44,,,
197,0,44,,,
205,0,44,,,
213,0,44,,,
221,0,44,,,
229,0,44,,,
237,0,44,,,
245,0,44,,,
Scan 2,,,,,
X pos (mm),Y pos (mm),Z pos (mm),XX Stress (MPa),YY Stress (MPa),ZZ Stress (MPa)
23.75,0,5,,,
23.75,0,10,,,
23.75,0,15,,,
23.75,0,20,,,
23.75,0,25,,,
23.75,0,30,,,
23.75,0,35,,,
23.75,0,40,,,
23.75,0,45,,,
23.75,0,50,,,
23.75,0,55,,,
23.75,0,60,,,
23.75,0,65,,,
23.75,0,70,,,
23.75,0,75,,,
23.75,0,80,,,
23.75,0,85,,,
23.75,0,90,,,
23.75,0,95,,,
23.75,0,100,,,
23.75,0,105,,,
23.75,0,110,,,
23.75,0,115,,,
23.75,0,120,,,
23.75,0,125,,,
23.75,0,130,,,
23.75,0,135,,,
23.75,0,140,,,
23.75,0,145,,,
23.75,0,150,,,
23.75,0,155,,,
23.75,0,160,,,
23.75,0,165,,,
23.75,0,170,,,
23.75,0,175,,,
23.75,0,180,,,
23.75,0,185,,,
23.75,0,190,,,
23.75,0,195,,,
Scan 3,,,,,
X pos (mm),Y pos (mm),Z pos (mm),XX Stress (MPa),YY Stress (MPa),ZZ Stress (MPa)
5,0,20,,,
10,0,20,,,
15,0,20,,,
20,0,20,,,
25,0,20,,,
30,0,20,,,
35,0,20,,,
40,0,20,,,
45,0,20,,,
50,0,20,,,
55,0,20,,,
60,0,20,,,
65,0,20,,,
70,0,20,,,
75,0,20,,,
80,0,20,,,
85,0,20,,,
90,0,20,,,
95,0,20,,,
100,0,20,,,
105,0,20,,,
110,0,20,,,
115,0,20,,,
120,0,20,,,
Scan 4,,,,,
X pos (mm),Y pos (mm),Z pos (mm),XX Stress (MPa),YY Stress (MPa),ZZ Stress (MPa)
62.5,0,5,,,
62.5,0,10,,,
62.5,0,15,,,
62.5,0,25,,,
62.5,0,30,,,
62.5,0,35,,,
62.5,0,40,,,
62.5,0,45,,,
Scan 5,,,,,
X pos (mm),Y pos (mm),Z pos (mm),XX Stress (MPa),YY Stress (MPa),ZZ Stress (MPa)
50,0,5,,,
50,0,10,,,
50,0,15,,,
50,0,20,,,
50,0,25,,,
50,0,30,,,
50,0,35,,,
50,0,40,,,
50,0,45,,,
50,0,50,,,
50,0,55,,,
50,0,60,,,
50,0,65,,,
50,0,70,,,
50,0,75,,,
50,0,80,,,
50,0,85,,,
50,0,90,,,
50,0,95,,,
Scan 5,,,,,
X pos (mm),Y pos (mm),Z pos (mm),XX Stress (MPa),YY Stress (MPa),ZZ Stress (MPa)
5,0,44,,,
10,0,44,,,
15,0,44,,,
20,0,44,,,
25,0,44,,,
30,0,44,,,
35,0,44,,,
40,0,44,,,
45,0,44,,,
50,0,44,,,
55,0,44,,,
60,0,44,,,
65,0,44,,,
70,0,44,,,
75,0,44,,,
80,0,44,,,
85,0,44,,,
90,0,44,,,
95,0,44,,,
